Basin,month,STAT,VALUE
Limpopo Basin,1983jun,average,7.89749164697
Okavango Basin,1983jun,average,1.33902910120
Cuvelai Basin,1983jun,average,0.35398058511
Zambezi Basin,1983mar,average,106.76414816600
Limpopo Basin,1983mar,average,61.00630133910
Okavango Basin,1983mar,average,50.11715938600
Cuvelai Basin,1983mar,average,53.35275828660
Zambezi Basin,1983may,average,8.54799386510
Limpopo Basin,1983may,average,11.70784490730
Okavango Basin,1983may,average,5.21233912645
Cuvelai Basin,1983may,average,2.52529206899
Zambezi Basin,1983nov,average,73.44432523660
Limpopo Basin,1983nov,average,92.75631076170
Okavango Basin,1983nov,average,70.70262007000
Cuvelai Basin,1983nov,average,63.42457635030
Zambezi Basin,1983oct,average,33.42038687010
Limpopo Basin,1983oct,average,30.31684487420
Okavango Basin,1983oct,average,24.26341721920
Cuvelai Basin,1983oct,average,13.00928557070
Zambezi Basin,1983sep,average,3.12890511323
Limpopo Basin,1983sep,average,6.41068795404
Okavango Basin,1983sep,average,4.16373861211
Cuvelai Basin,1983sep,average,1.49468507850
Zambezi Basin,1984apr,average,32.46683053250
Limpopo Basin,1984apr,average,17.94190039510
Okavango Basin,1984apr,average,33.93844327970
Cuvelai Basin,1984apr,average,53.07556473310
Zambezi Basin,1984aug,average,1.53053483354
Limpopo Basin,1984aug,average,4.18790670939
Okavango Basin,1984aug,average,0.62185418152
Cuvelai Basin,1984aug,average,0.20496180975
Zambezi Basin,1984dec,average,223.03456724700
Limpopo Basin,1984dec,average,65.79625162600
Okavango Basin,1984dec,average,52.36896285290
Cuvelai Basin,1984dec,average,38.51715275530
Zambezi Basin,1984feb,average,188.33947690600
Limpopo Basin,1984feb,average,45.06902333660
Okavango Basin,1984feb,average,74.34595871610
Cuvelai Basin,1984feb,average,98.72327484910
Zambezi Basin,1984jan,average,153.16020050400
Limpopo Basin,1984jan,average,74.93520834110
Okavango Basin,1984jan,average,64.27197201470
Cuvelai Basin,1984jan,average,82.40455287210
Zambezi Basin,1984jul,average,1.59139238737
Limpopo Basin,1984jul,average,11.98822881280
Okavango Basin,1984jul,average,0.51121984656
Cuvelai Basin,1984jul,average,0.03671645327
Zambezi Basin,1984jun,average,2.24991066233
Limpopo Basin,1984jun,average,7.55512174734
Okavango Basin,1984jun,average,1.14577265124
Cuvelai Basin,1984jun,average,0.32878223832
Zambezi Basin,1984mar,average,141.77394653200
Limpopo Basin,1984mar,average,83.77911810540
Okavango Basin,1984mar,average,93.70715727460
Cuvelai Basin,1984mar,average,136.90424673400
Zambezi Basin,1984may,average,7.95153256923
Limpopo Basin,1984may,average,5.34057391259
Okavango Basin,1984may,average,3.65861919764
Cuvelai Basin,1984may,average,2.91286086827
Zambezi Basin,1984nov,average,100.73213806400
Limpopo Basin,1984nov,average,85.56360295630
Okavango Basin,1984nov,average,55.40134992070
Cuvelai Basin,1984nov,average,54.35461772780
Zambezi Basin,1984oct,average,30.73746547450
Limpopo Basin,1984oct,average,50.06003627200
Okavango Basin,1984oct,average,31.11484344530
Cuvelai Basin,1984oct,average,23.39560485360
Zambezi Basin,1984sep,average,3.79606549748
Limpopo Basin,1984sep,average,16.05071365370
Okavango Basin,1984sep,average,4.23329879417
Cuvelai Basin,1984sep,average,1.57100549880
Zambezi Basin,1985apr,average,50.64592917280
Limpopo Basin,1985apr,average,11.59423481460
Okavango Basin,1985apr,average,18.87978062740
Cuvelai Basin,1985apr,average,15.95188685580
Zambezi Basin,1985aug,average,1.69395522064
Limpopo Basin,1985aug,average,4.30500760716
Okavango Basin,1985aug,average,0.61191271856
Cuvelai Basin,1985aug,average,0.20373544741
Zambezi Basin,1985dec,average,212.45806624900
Limpopo Basin,1985dec,average,92.45057714820
Okavango Basin,1985dec,average,90.75470400560
Cuvelai Basin,1985dec,average,51.11713514890
Zambezi Basin,1985feb,average,179.54978111900
Limpopo Basin,1985feb,average,94.88041084740
Okavango Basin,1985feb,average,78.78862181460
Cuvelai Basin,1985feb,average,118.22040205900
Zambezi Basin,1985jan,average,222.58145437000
Limpopo Basin,1985jan,average,127.44793540800
Okavango Basin,1985jan,average,111.95398868500
Cuvelai Basin,1985jan,average,107.32791570200
Zambezi Basin,1985jul,average,1.71286011850
Limpopo Basin,1985jul,average,6.06747376788
Okavango Basin,1985jul,average,0.34607748786
Cuvelai Basin,1985jul,average,0.03651914327
Zambezi Basin,1985jun,average,1.56008755918
Limpopo Basin,1985jun,average,7.94205438974
Okavango Basin,1985jun,average,1.12960092651
Cuvelai Basin,1985jun,average,0.29358435290
Zambezi Basin,1985mar,average,160.87842440700
Limpopo Basin,1985mar,average,59.68481033330
Okavango Basin,1985mar,average,73.19034746900
Cuvelai Basin,1985mar,average,111.59185306500
Zambezi Basin,1985may,average,6.87725800196
Limpopo Basin,1985may,average,13.55153773890
Okavango Basin,1985may,average,4.09133062622
Cuvelai Basin,1985may,average,2.71220755622
Zambezi Basin,1985nov,average,85.01958733830
Limpopo Basin,1985nov,average,49.15920112720
Okavango Basin,1985nov,average,34.84452603820
Cuvelai Basin,1985nov,average,43.49574721290
